Member_number,Date,itemDescription,Invoice_id
4170,11-05-2015,chicken,4170_11-05-2015
1596,14-07-2015,bottled water,1596_14-07-2015
1265,13-04-2015,pork,1265_13-04-2015
1259,20-09-2015,ice cream,1259_20-09-2015
4102,23-10-2015,ham,4102_23-10-2015
3465,16-04-2015,butter milk,3465_16-04-2015
3504,05-11-2015,frankfurter,3504_05-11-2015
3336,26-03-2015,pork,3336_26-03-2015
3001,14-11-2015,sausage,3001_14-11-2015
4078,18-04-2015,berries,4078_18-04-2015
3244,20-11-2015,sausage,3244_20-11-2015
3544,10-03-2015,whole milk,3544_10-03-2015
2760,14-04-2015,other vegetables,2760_14-04-2015
4643,02-12-2015,sausage,4643_02-12-2015
3601,20-12-2015,rolls/buns,3601_20-12-2015
2275,02-08-2015,yogurt,2275_02-08-2015
3082,10-04-2015,root vegetables,3082_10-04-2015
4273,22-01-2015,rolls/buns,4273_22-01-2015
1951,22-10-2015,herbs,1951_22-10-2015
3589,31-01-2015,other vegetables,3589_31-01-2015
2404,15-10-2015,pip fruit,2404_15-10-2015
3619,07-04-2015,pork,3619_07-04-2015
4733,09-03-2015,soda,4733_09-03-2015
4868,02-05-2015,onions,4868_02-05-2015
3410,03-07-2015,other vegetables,3410_03-07-2015
4937,14-02-2015,hamburger meat,4937_14-02-2015
2979,09-08-2015,rum,2979_09-08-2015
2278,10-08-2015,shopping bags,2278_10-08-2015
4512,08-11-2015,other vegetables,4512_08-11-2015
1940,18-11-2015,beef,1940_18-11-2015
1867,29-03-2015,root vegetables,1867_29-03-2015
1888,21-05-2015,frankfurter,1888_21-05-2015
2073,18-06-2015,frankfurter,2073_18-06-2015
4023,21-01-2015,ice cream,4023_21-01-2015
4416,29-10-2015,pastry,4416_29-10-2015
4210,07-08-2015,chicken,4210_07-08-2015
1520,26-02-2015,baking powder,1520_26-02-2015
1890,20-04-2015,berries,1890_20-04-2015
3079,30-01-2015,pet care,3079_30-01-2015
1772,02-11-2015,misc. beverages,1772_02-11-2015
1361,12-07-2015,sausage,1361_12-07-2015
4073,13-02-2015,whipped/sour cream,4073_13-02-2015
2128,24-04-2015,rolls/buns,2128_24-04-2015
1882,25-09-2015,fish,1882_25-09-2015
4895,01-06-2015,tropical fruit,4895_01-06-2015
1431,05-03-2015,other vegetables,1431_05-03-2015
2159,17-07-2015,ham,2159_17-07-2015
2666,14-12-2015,meat,2666_14-12-2015
2986,19-05-2015,margarine,2986_19-05-2015
3491,26-10-2015,sausage,3491_26-10-2015
3844,14-08-2015,citrus fruit,3844_14-08-2015
4002,30-04-2015,sausage,4002_30-04-2015
3963,26-01-2015,sausage,3963_26-01-2015
2997,03-08-2015,other vegetables,2997_03-08-2015
4122,05-06-2015,meat,4122_05-06-2015
4326,11-04-2015,soda,4326_11-04-2015
4331,10-09-2015,sausage,4331_10-09-2015
4199,29-12-2015,pip fruit,4199_29-12-2015
1910,25-09-2015,tropical fruit,1910_25-09-2015
2713,18-08-2015,other vegetables,2713_18-08-2015
4535,05-12-2015,pastry,4535_05-12-2015
1529,17-06-2015,frankfurter,1529_17-06-2015
4361,18-02-2015,domestic eggs,4361_18-02-2015
1208,21-08-2015,rolls/buns,1208_21-08-2015
1789,22-10-2015,citrus fruit,1789_22-10-2015
4592,07-08-2015,domestic eggs,4592_07-08-2015
2141,08-03-2015,citrus fruit,2141_08-03-2015
1425,24-09-2015,citrus fruit,1425_24-09-2015
3264,13-01-2015,sausage,3264_13-01-2015
4575,10-12-2015,ice cream,4575_10-12-2015
1042,22-05-2015,citrus fruit,1042_22-05-2015
4624,18-05-2015,pip fruit,4624_18-05-2015
1692,08-05-2015,citrus fruit,1692_08-05-2015
4861,28-03-2015,brown bread,4861_28-03-2015
1409,28-07-2015,sausage,1409_28-07-2015
4403,08-05-2015,canned beer,4403_08-05-2015
1000,25-11-2015,sausage,1000_25-11-2015
2359,28-08-2015,canned beer,2359_28-08-2015
1613,08-08-2015,soda,1613_08-08-2015
2632,17-08-2015,citrus fruit,2632_17-08-2015
3974,19-06-2015,sausage,3974_19-06-2015
1742,27-11-2015,other vegetables,1742_27-11-2015
3281,25-10-2015,beef,3281_25-10-2015
2610,21-10-2015,meat,2610_21-10-2015
3209,25-01-2015,canned beer,3209_25-01-2015
1032,13-07-2015,ice cream,1032_13-07-2015
2257,15-05-2015,soda,2257_15-05-2015
4500,08-06-2015,whole milk,4500_08-06-2015
2134,27-08-2015,pastry,2134_27-08-2015
4542,18-01-2015,whipped/sour cream,4542_18-01-2015
1921,23-02-2015,chocolate,1921_23-02-2015
3363,29-12-2015,pork,3363_29-12-2015
3220,07-11-2015,rolls/buns,3220_07-11-2015
2547,06-04-2015,frankfurter,2547_06-04-2015
3675,03-08-2015,salty snack,3675_03-08-2015
3410,30-08-2015,photo/film,3410_30-08-2015
3721,04-07-2015,photo/film,3721_04-07-2015
2204,27-09-2015,soda,2204_27-09-2015
2251,27-02-2015,bottled beer,2251_27-02-2015
4706,07-08-2015,frozen meals,4706_07-08-2015
1762,21-01-2015,citrus fruit,1762_21-01-2015
2996,08-01-2015,domestic eggs,2996_08-01-2015
3727,19-05-2015,tropical fruit,3727_19-05-2015
4230,25-06-2015,seasonal products,4230_25-06-2015
2089,16-10-2015,grapes,2089_16-10-2015
1452,21-05-2015,shopping bags,1452_21-05-2015
4176,05-05-2015,semi-finished bread,4176_05-05-2015
2484,12-08-2015,tropical fruit,2484_12-08-2015
3590,30-05-2015,seasonal products,3590_30-05-2015
1015,22-03-2015,salty snack,1015_22-03-2015
4942,29-01-2015,citrus fruit,4942_29-01-2015
2038,17-05-2015,rolls/buns,2038_17-05-2015
4024,11-03-2015,ice cream,4024_11-03-2015
4089,04-10-2015,sausage,4089_04-10-2015
2287,23-09-2015,yogurt,2287_23-09-2015
1946,08-12-2015,pastry,1946_08-12-2015
4899,13-03-2015,hamburger meat,4899_13-03-2015
4656,01-11-2015,onions,4656_01-11-2015
1340,18-11-2015,whipped/sour cream,1340_18-11-2015
3800,08-02-2015,newspapers,3800_08-02-2015
4883,16-01-2015,other vegetables,4883_16-01-2015
4752,18-05-2015,liver loaf,4752_18-05-2015
4120,13-03-2015,rolls/buns,4120_13-03-2015
1776,20-03-2015,fish,1776_20-03-2015
4445,15-04-2015,canned beer,4445_15-04-2015
1515,06-11-2015,bottled beer,1515_06-11-2015
4470,23-06-2015,frozen meals,4470_23-06-2015
2551,06-06-2015,pot plants,2551_06-06-2015
2062,03-09-2015,pork,2062_03-09-2015
4407,19-02-2015,berries,4407_19-02-2015
1479,15-05-2015,sausage,1479_15-05-2015
1049,04-08-2015,white bread,1049_04-08-2015
3062,22-03-2015,shopping bags,3062_22-03-2015
3328,15-10-2015,cream cheese ,3328_15-10-2015
2269,20-09-2015,berries,2269_20-09-2015
2195,10-07-2015,tropical fruit,2195_10-07-2015
4757,12-01-2015,frozen meals,4757_12-01-2015
4883,16-05-2015,ice cream,4883_16-05-2015
1846,11-09-2015,frankfurter,1846_11-09-2015
4439,21-08-2015,rolls/buns,4439_21-08-2015
2102,25-01-2015,fruit/vegetable juice,2102_25-01-2015
3333,22-02-2015,beverages,3333_22-02-2015
4486,06-11-2015,berries,4486_06-11-2015
3010,14-08-2015,fruit/vegetable juice,3010_14-08-2015
1206,02-01-2015,sausage,1206_02-01-2015
2220,07-01-2015,tropical fruit,2220_07-01-2015
1989,09-09-2015,soda,1989_09-09-2015
3635,19-06-2015,finished products,3635_19-06-2015
1275,11-04-2015,salt,1275_11-04-2015
3433,22-08-2015,berries,3433_22-08-2015
1426,08-07-2015,potato products,1426_08-07-2015
1110,09-09-2015,ham,1110_09-09-2015
4163,23-04-2015,specialty chocolate,4163_23-04-2015
4809,28-09-2015,whole milk,4809_28-09-2015
3559,02-07-2015,pastry,3559_02-07-2015
3385,28-06-2015,frankfurter,3385_28-06-2015
4523,27-02-2015,grapes,4523_27-02-2015
4335,05-01-2015,pot plants,4335_05-01-2015
1900,08-01-2015,other vegetables,1900_08-01-2015
1859,28-05-2015,root vegetables,1859_28-05-2015
3139,17-02-2015,soda,3139_17-02-2015
1614,03-02-2015,bottled beer,1614_03-02-2015
4694,07-07-2015,rolls/buns,4694_07-07-2015
4257,18-08-2015,grapes,4257_18-08-2015
1604,11-11-2015,tropical fruit,1604_11-11-2015
4857,28-07-2015,citrus fruit,4857_28-07-2015
2017,23-10-2015,chicken,2017_23-10-2015
3239,27-11-2015,citrus fruit,3239_27-11-2015
4194,11-05-2015,cleaner,4194_11-05-2015
1014,04-01-2015,canned beer,1014_04-01-2015
3651,04-07-2015,misc. beverages,3651_04-07-2015
1591,20-03-2015,soap,1591_20-03-2015
1572,14-07-2015,specialty chocolate,1572_14-07-2015
2255,18-12-2015,pip fruit,2255_18-12-2015
1793,22-10-2015,other vegetables,1793_22-10-2015
3256,30-07-2015,pork,3256_30-07-2015
3176,05-02-2015,pork,3176_05-02-2015
2790,11-10-2015,cereals,2790_11-10-2015
3581,12-04-2015,tropical fruit,3581_12-04-2015
1190,27-10-2015,sparkling wine,1190_27-10-2015
4960,15-08-2015,other vegetables,4960_15-08-2015
1697,17-11-2015,dish cleaner,1697_17-11-2015
1208,16-12-2015,tropical fruit,1208_16-12-2015
1148,14-01-2015,pork,1148_14-01-2015
1763,27-12-2015,pork,1763_27-12-2015
4526,21-08-2015,frankfurter,4526_21-08-2015
4447,01-05-2015,rolls/buns,4447_01-05-2015
3521,17-07-2015,yogurt,3521_17-07-2015
2969,08-12-2015,packaged fruit/vegetables,2969_08-12-2015
2790,11-10-2015,sausage,2790_11-10-2015
4328,29-08-2015,tropical fruit,4328_29-08-2015
3484,22-09-2015,cream cheese ,3484_22-09-2015
2467,07-10-2015,curd,2467_07-10-2015
4722,16-12-2015,whole milk,4722_16-12-2015
1490,04-10-2015,whole milk,1490_04-10-2015
4655,02-08-2015,other vegetables,4655_02-08-2015
2842,29-07-2015,sausage,2842_29-07-2015
1796,03-11-2015,butter,1796_03-11-2015
4426,18-05-2015,tropical fruit,4426_18-05-2015
2656,02-02-2015,hamburger meat,2656_02-02-2015
4440,11-04-2015,chicken,4440_11-04-2015
3682,06-08-2015,cooking chocolate,3682_06-08-2015
2897,27-01-2015,zwieback,2897_27-01-2015
3316,07-01-2015,cream cheese ,3316_07-01-2015
1494,26-03-2015,sausage,1494_26-03-2015
4427,31-01-2015,zwieback,4427_31-01-2015
1322,16-09-2015,waffles,1322_16-09-2015
3354,09-11-2015,yogurt,3354_09-11-2015
2169,20-09-2015,meat,2169_20-09-2015
2140,30-12-2015,sausage,2140_30-12-2015
1921,11-11-2015,turkey,1921_11-11-2015
2101,10-04-2015,citrus fruit,2101_10-04-2015
3204,25-02-2015,berries,3204_25-02-2015
3544,04-04-2015,canned beer,3544_04-04-2015
3659,28-04-2015,whole milk,3659_28-04-2015
2233,10-04-2015,whole milk,2233_10-04-2015
1832,23-04-2015,berries,1832_23-04-2015
3133,25-12-2015,hamburger meat,3133_25-12-2015
3438,25-07-2015,liquor,3438_25-07-2015
3294,05-04-2015,chocolate,3294_05-04-2015
1035,23-05-2015,sausage,1035_23-05-2015
4067,16-10-2015,domestic eggs,4067_16-10-2015
1710,05-12-2015,chicken,1710_05-12-2015
4781,25-01-2015,sausage,4781_25-01-2015
1768,18-04-2015,butter milk,1768_18-04-2015
3907,24-06-2015,ham,3907_24-06-2015
4885,16-10-2015,whole milk,4885_16-10-2015
4584,02-12-2015,beef,4584_02-12-2015
3728,12-06-2015,specialty bar,3728_12-06-2015
1875,29-07-2015,coffee,1875_29-07-2015
1881,15-10-2015,beverages,1881_15-10-2015
2997,10-02-2015,fish,2997_10-02-2015
4190,23-09-2015,pip fruit,4190_23-09-2015
3283,02-07-2015,coffee,3283_02-07-2015
1903,10-03-2015,canned beer,1903_10-03-2015
4949,18-08-2015,frozen fish,4949_18-08-2015
2460,18-12-2015,whole milk,2460_18-12-2015
4726,01-03-2015,whole milk,4726_01-03-2015
3066,06-12-2015,pastry,3066_06-12-2015
1239,22-03-2015,sausage,1239_22-03-2015
3495,17-06-2015,beef,3495_17-06-2015
1848,20-06-2015,frankfurter,1848_20-06-2015
2705,16-11-2015,meat,2705_16-11-2015
3042,27-12-2015,whole milk,3042_27-12-2015
3088,30-04-2015,canned beer,3088_30-04-2015
3728,15-03-2015,rolls/buns,3728_15-03-2015
4634,26-02-2015,pip fruit,4634_26-02-2015
3542,16-06-2015,whole milk,3542_16-06-2015
1666,15-04-2015,sausage,1666_15-04-2015
3617,17-04-2015,beef,3617_17-04-2015
3209,25-12-2015,pastry,3209_25-12-2015
2284,11-03-2015,frankfurter,2284_11-03-2015
2716,23-09-2015,yogurt,2716_23-09-2015
1499,09-11-2015,cat food,1499_09-11-2015
4695,03-10-2015,pet care,4695_03-10-2015
3597,13-12-2015,ham,3597_13-12-2015
2408,09-09-2015,sausage,2408_09-09-2015
2413,25-10-2015,tropical fruit,2413_25-10-2015
3664,30-05-2015,whole milk,3664_30-05-2015
4483,15-08-2015,canned vegetables,4483_15-08-2015
1265,03-10-2015,pork,1265_03-10-2015
2235,13-09-2015,pip fruit,2235_13-09-2015
1730,25-12-2015,sausage,1730_25-12-2015
4920,21-02-2015,pork,4920_21-02-2015
4555,09-07-2015,citrus fruit,4555_09-07-2015
2069,16-03-2015,citrus fruit,2069_16-03-2015
2954,05-06-2015,sausage,2954_05-06-2015
4893,01-03-2015,berries,4893_01-03-2015
1961,15-12-2015,brown bread,1961_15-12-2015
1165,29-12-2015,curd,1165_29-12-2015
2489,22-12-2015,whipped/sour cream,2489_22-12-2015
1383,23-02-2015,pip fruit,1383_23-02-2015
4812,17-03-2015,sausage,4812_17-03-2015
1235,29-05-2015,shopping bags,1235_29-05-2015
4313,23-06-2015,citrus fruit,4313_23-06-2015
4044,01-12-2015,frankfurter,4044_01-12-2015
2926,29-10-2015,oil,2926_29-10-2015
2764,25-02-2015,beverages,2764_25-02-2015
4340,26-01-2015,soda,4340_26-01-2015
2106,28-08-2015,whole milk,2106_28-08-2015
1083,06-02-2015,pork,1083_06-02-2015
2043,07-03-2015,bottled water,2043_07-03-2015
4196,07-11-2015,brown bread,4196_07-11-2015
3844,17-09-2015,whole milk,3844_17-09-2015
2248,17-03-2015,rolls/buns,2248_17-03-2015
3280,13-07-2015,whole milk,3280_13-07-2015
1678,01-08-2015,ham,1678_01-08-2015
4567,04-08-2015,frankfurter,4567_04-08-2015
1614,21-10-2015,specialty cheese,1614_21-10-2015
4251,17-01-2015,pork,4251_17-01-2015
4064,17-09-2015,citrus fruit,4064_17-09-2015
4629,24-02-2015,canned vegetables,4629_24-02-2015
4249,04-12-2015,sausage,4249_04-12-2015
2798,22-08-2015,frankfurter,2798_22-08-2015
4944,06-09-2015,domestic eggs,4944_06-09-2015
4495,16-12-2015,sausage,4495_16-12-2015
4524,02-05-2015,spread cheese,4524_02-05-2015
2941,26-09-2015,other vegetables,2941_26-09-2015
2862,08-08-2015,misc. beverages,2862_08-08-2015
3248,19-06-2015,citrus fruit,3248_19-06-2015
1001,14-04-2015,beef,1001_14-04-2015
2104,20-10-2015,yogurt,2104_20-10-2015
2083,19-06-2015,sausage,2083_19-06-2015
1932,27-06-2015,chocolate,1932_27-06-2015
3760,03-11-2015,other vegetables,3760_03-11-2015
2894,14-03-2015,butter,2894_14-03-2015
3590,09-01-2015,tropical fruit,3590_09-01-2015
4616,14-02-2015,other vegetables,4616_14-02-2015
2527,20-01-2015,canned beer,2527_20-01-2015
2327,06-07-2015,chicken,2327_06-07-2015
4091,25-02-2015,sausage,4091_25-02-2015
4735,01-04-2015,curd,4735_01-04-2015
4195,04-05-2015,salty snack,4195_04-05-2015
1017,16-05-2015,other vegetables,1017_16-05-2015
4115,22-05-2015,citrus fruit,4115_22-05-2015
1339,05-05-2015,sausage,1339_05-05-2015
4037,29-12-2015,citrus fruit,4037_29-12-2015
2789,01-06-2015,tropical fruit,2789_01-06-2015
1620,20-08-2015,chicken,1620_20-08-2015
4656,27-01-2015,white wine,4656_27-01-2015
4795,30-07-2015,sausage,4795_30-07-2015
3843,04-09-2015,sausage,3843_04-09-2015
4710,20-04-2015,cat food,4710_20-04-2015
1090,04-10-2015,beef,1090_04-10-2015
1539,07-04-2015,frankfurter,1539_07-04-2015
2114,24-05-2015,frankfurter,2114_24-05-2015
4236,13-10-2015,tropical fruit,4236_13-10-2015
4727,06-10-2015,bottled water,4727_06-10-2015
1967,23-06-2015,whole milk,1967_23-06-2015
1584,31-01-2015,pet care,1584_31-01-2015
4883,28-08-2015,ham,4883_28-08-2015
4039,19-01-2015,pip fruit,4039_19-01-2015
3927,09-12-2015,bottled water,3927_09-12-2015
3594,11-09-2015,tropical fruit,3594_11-09-2015
4129,07-11-2015,citrus fruit,4129_07-11-2015
2616,16-05-2015,pork,2616_16-05-2015
2539,15-11-2015,citrus fruit,2539_15-11-2015
2556,28-08-2015,newspapers,2556_28-08-2015
3855,18-06-2015,curd,3855_18-06-2015
2089,15-10-2015,whole milk,2089_15-10-2015
2466,28-08-2015,sausage,2466_28-08-2015
1211,19-04-2015,UHT-milk,1211_19-04-2015
1370,05-07-2015,tropical fruit,1370_05-07-2015
3779,10-10-2015,yogurt,3779_10-10-2015
3498,31-03-2015,other vegetables,3498_31-03-2015
1613,06-04-2015,turkey,1613_06-04-2015
1176,17-08-2015,pastry,1176_17-08-2015
4027,29-06-2015,whipped/sour cream,4027_29-06-2015
4389,17-12-2015,misc. beverages,4389_17-12-2015
2578,28-05-2015,brown bread,2578_28-05-2015
1342,19-02-2015,ham,1342_19-02-2015
2210,07-09-2015,sausage,2210_07-09-2015
4807,08-04-2015,tropical fruit,4807_08-04-2015
2799,10-09-2015,citrus fruit,2799_10-09-2015
2957,27-11-2015,photo/film,2957_27-11-2015
3566,14-12-2015,sausage,3566_14-12-2015
4768,13-03-2015,pork,4768_13-03-2015
4853,04-10-2015,frankfurter,4853_04-10-2015
3791,25-03-2015,brown bread,3791_25-03-2015
3235,14-11-2015,pork,3235_14-11-2015
3866,07-07-2015,chocolate,3866_07-07-2015
4385,17-11-2015,frankfurter,4385_17-11-2015
4938,10-12-2015,whole milk,4938_10-12-2015
1528,15-09-2015,chicken,1528_15-09-2015
4273,21-03-2015,citrus fruit,4273_21-03-2015
1329,23-05-2015,hamburger meat,1329_23-05-2015
4158,11-11-2015,root vegetables,4158_11-11-2015
1558,06-04-2015,finished products,1558_06-04-2015
4782,31-05-2015,canned beer,4782_31-05-2015
4606,15-05-2015,whole milk,4606_15-05-2015
3066,05-05-2015,bottled water,3066_05-05-2015
2299,10-11-2015,turkey,2299_10-11-2015
3677,01-09-2015,turkey,3677_01-09-2015
3947,13-06-2015,meat,3947_13-06-2015
2475,23-07-2015,tropical fruit,2475_23-07-2015
4677,09-04-2015,detergent,4677_09-04-2015
1890,27-05-2015,liquor,1890_27-05-2015
3645,05-12-2015,citrus fruit,3645_05-12-2015
4951,24-11-2015,whole milk,4951_24-11-2015
1718,14-03-2015,frankfurter,1718_14-03-2015
1304,17-08-2015,frankfurter,1304_17-08-2015
2018,25-08-2015,waffles,2018_25-08-2015
3232,10-06-2015,whole milk,3232_10-06-2015
4905,25-11-2015,berries,4905_25-11-2015
1238,01-03-2015,frankfurter,1238_01-03-2015
4892,13-04-2015,citrus fruit,4892_13-04-2015
4152,18-06-2015,soda,4152_18-06-2015
1790,05-02-2015,pork,1790_05-02-2015
1874,10-02-2015,frankfurter,1874_10-02-2015
4708,06-06-2015,ham,4708_06-06-2015
3852,01-04-2015,citrus fruit,3852_01-04-2015
4688,08-05-2015,chicken,4688_08-05-2015
1042,16-10-2015,whole milk,1042_16-10-2015
4908,20-05-2015,tropical fruit,4908_20-05-2015
1780,12-07-2015,curd,1780_12-07-2015
1438,11-05-2015,sausage,1438_11-05-2015
1265,19-01-2015,hamburger meat,1265_19-01-2015
3669,10-02-2015,citrus fruit,3669_10-02-2015
2412,13-03-2015,sausage,2412_13-03-2015
1818,10-09-2015,red/blush wine,1818_10-09-2015
2601,27-06-2015,other vegetables,2601_27-06-2015
1905,31-07-2015,ham,1905_31-07-2015
1407,26-06-2015,beef,1407_26-06-2015
3754,02-01-2015,pip fruit,3754_02-01-2015
2743,05-05-2015,beef,2743_05-05-2015
2211,22-09-2015,whole milk,2211_22-09-2015
4138,12-06-2015,pork,4138_12-06-2015
4141,12-11-2015,frankfurter,4141_12-11-2015
4826,15-06-2015,red/blush wine,4826_15-06-2015
2685,07-10-2015,bottled water,2685_07-10-2015
3793,02-07-2015,ham,3793_02-07-2015
4687,23-09-2015,soda,4687_23-09-2015
2277,18-01-2015,soda,2277_18-01-2015
4518,20-07-2015,yogurt,4518_20-07-2015
1997,28-12-2015,cleaner,1997_28-12-2015
4114,07-08-2015,frankfurter,4114_07-08-2015
1097,25-09-2015,frankfurter,1097_25-09-2015
2568,22-09-2015,pip fruit,2568_22-09-2015
1997,20-08-2015,ham,1997_20-08-2015
4987,07-01-2015,condensed milk,4987_07-01-2015
2404,02-06-2015,soda,2404_02-06-2015
1619,04-03-2015,beef,1619_04-03-2015
3640,13-03-2015,rolls/buns,3640_13-03-2015
4537,27-10-2015,pork,4537_27-10-2015
3519,30-07-2015,sausage,3519_30-07-2015
3587,08-06-2015,sausage,3587_08-06-2015
1232,01-07-2015,butter,1232_01-07-2015
2597,15-08-2015,berries,2597_15-08-2015
1878,10-01-2015,sausage,1878_10-01-2015
2860,01-03-2015,sausage,2860_01-03-2015
4006,14-06-2015,sausage,4006_14-06-2015
4536,13-09-2015,hamburger meat,4536_13-09-2015
4180,04-06-2015,other vegetables,4180_04-06-2015
1384,23-03-2015,soda,1384_23-03-2015
3322,11-10-2015,sausage,3322_11-10-2015
2543,13-08-2015,rolls/buns,2543_13-08-2015
3763,27-06-2015,beef,3763_27-06-2015
4459,08-02-2015,sausage,4459_08-02-2015
2736,25-05-2015,pork,2736_25-05-2015
1549,18-03-2015,rolls/buns,1549_18-03-2015
2047,20-12-2015,pip fruit,2047_20-12-2015
3754,22-01-2015,whole milk,3754_22-01-2015
2667,16-06-2015,frankfurter,2667_16-06-2015
1829,19-06-2015,pork,1829_19-06-2015
1376,30-06-2015,sausage,1376_30-06-2015
2953,04-01-2015,packaged fruit/vegetables,2953_04-01-2015
3465,14-06-2015,coffee,3465_14-06-2015
3120,23-12-2015,other vegetables,3120_23-12-2015
1301,07-01-2015,sausage,1301_07-01-2015
1865,18-10-2015,ham,1865_18-10-2015
2772,04-12-2015,bottled water,2772_04-12-2015
1875,22-05-2015,bottled water,1875_22-05-2015
3358,29-03-2015,ham,3358_29-03-2015
3255,05-11-2015,tropical fruit,3255_05-11-2015
3877,27-05-2015,tropical fruit,3877_27-05-2015
1480,24-08-2015,berries,1480_24-08-2015
2850,27-03-2015,whole milk,2850_27-03-2015
1699,07-07-2015,canned vegetables,1699_07-07-2015
3258,20-05-2015,other vegetables,3258_20-05-2015
4717,03-05-2015,pip fruit,4717_03-05-2015
3307,28-06-2015,other vegetables,3307_28-06-2015
2332,15-12-2015,tropical fruit,2332_15-12-2015
2431,27-10-2015,rolls/buns,2431_27-10-2015
2312,26-03-2015,frankfurter,2312_26-03-2015
2232,15-01-2015,root vegetables,2232_15-01-2015
3998,14-12-2015,chicken,3998_14-12-2015
3054,28-06-2015,meat,3054_28-06-2015
4550,26-03-2015,canned beer,4550_26-03-2015
1075,20-07-2015,frankfurter,1075_20-07-2015
3898,11-04-2015,ham,3898_11-04-2015
3374,27-08-2015,chicken,3374_27-08-2015
4262,25-04-2015,whole milk,4262_25-04-2015
1151,17-09-2015,berries,1151_17-09-2015
3669,17-01-2015,pork,3669_17-01-2015
4222,27-12-2015,cat food,4222_27-12-2015
1914,04-06-2015,other vegetables,1914_04-06-2015
1306,20-11-2015,whole milk,1306_20-11-2015
4229,20-08-2015,dishes,4229_20-08-2015
2145,12-12-2015,whole milk,2145_12-12-2015
1977,12-01-2015,whole milk,1977_12-01-2015
4552,19-06-2015,pork,4552_19-06-2015
4013,18-03-2015,sausage,4013_18-03-2015
4566,30-08-2015,whipped/sour cream,4566_30-08-2015
3111,23-12-2015,pork,3111_23-12-2015
3699,12-12-2015,chocolate,3699_12-12-2015
2895,14-08-2015,long life bakery product,2895_14-08-2015
3868,19-08-2015,beef,3868_19-08-2015
3215,24-04-2015,frankfurter,3215_24-04-2015
2461,04-10-2015,tropical fruit,2461_04-10-2015
1452,25-11-2015,tropical fruit,1452_25-11-2015
4618,16-12-2015,frankfurter,4618_16-12-2015
4721,23-05-2015,sausage,4721_23-05-2015
2712,21-06-2015,root vegetables,2712_21-06-2015
1458,24-08-2015,pork,1458_24-08-2015
3746,09-11-2015,chicken,3746_09-11-2015
3596,20-04-2015,other vegetables,3596_20-04-2015
4120,11-12-2015,whole milk,4120_11-12-2015
3215,21-07-2015,whipped/sour cream,3215_21-07-2015
1674,02-04-2015,zwieback,1674_02-04-2015
3310,14-05-2015,pork,3310_14-05-2015
4783,01-06-2015,rolls/buns,4783_01-06-2015
3741,14-06-2015,root vegetables,3741_14-06-2015
2466,10-10-2015,citrus fruit,2466_10-10-2015
1653,07-12-2015,pip fruit,1653_07-12-2015
2070,28-06-2015,sausage,2070_28-06-2015
1749,04-01-2015,frankfurter,1749_04-01-2015
2625,18-02-2015,chicken,2625_18-02-2015
3002,21-01-2015,sausage,3002_21-01-2015
1064,25-07-2015,long life bakery product,1064_25-07-2015
2127,19-11-2015,citrus fruit,2127_19-11-2015
4392,16-08-2015,other vegetables,4392_16-08-2015
1649,26-05-2015,pip fruit,1649_26-05-2015
4375,29-04-2015,tropical fruit,4375_29-04-2015
1699,25-09-2015,onions,1699_25-09-2015
2682,01-12-2015,root vegetables,2682_01-12-2015
2022,03-06-2015,rolls/buns,2022_03-06-2015
2669,29-03-2015,frankfurter,2669_29-03-2015
3025,19-10-2015,turkey,3025_19-10-2015
3019,19-12-2015,butter milk,3019_19-12-2015
4801,04-08-2015,whole milk,4801_04-08-2015
3679,25-09-2015,onions,3679_25-09-2015
3380,16-02-2015,herbs,3380_16-02-2015
3354,29-11-2015,berries,3354_29-11-2015
1756,23-09-2015,ice cream,1756_23-09-2015
3172,01-03-2015,whipped/sour cream,3172_01-03-2015
3341,15-12-2015,chicken,3341_15-12-2015
1113,05-08-2015,bottled beer,1113_05-08-2015
3339,08-12-2015,napkins,3339_08-12-2015
3015,10-10-2015,sausage,3015_10-10-2015
3144,27-04-2015,tropical fruit,3144_27-04-2015
4106,06-03-2015,grapes,4106_06-03-2015
1798,01-01-2015,beef,1798_01-01-2015
1493,22-05-2015,whipped/sour cream,1493_22-05-2015
4454,23-12-2015,oil,4454_23-12-2015
2935,09-01-2015,other vegetables,2935_09-01-2015
3328,12-09-2015,ice cream,3328_12-09-2015
3915,30-09-2015,frankfurter,3915_30-09-2015
1968,21-08-2015,hard cheese,1968_21-08-2015
4355,13-03-2015,canned beer,4355_13-03-2015
1580,07-08-2015,other vegetables,1580_07-08-2015
3703,24-01-2015,whole milk,3703_24-01-2015
1497,18-04-2015,sausage,1497_18-04-2015
1340,13-03-2015,root vegetables,1340_13-03-2015
1102,27-06-2015,other vegetables,1102_27-06-2015
4223,07-10-2015,sliced cheese,4223_07-10-2015
4190,27-12-2015,whole milk,4190_27-12-2015
4695,22-07-2015,yogurt,4695_22-07-2015
1421,23-02-2015,frankfurter,1421_23-02-2015
3293,09-05-2015,sausage,3293_09-05-2015
3543,25-02-2015,citrus fruit,3543_25-02-2015
1153,26-10-2015,frankfurter,1153_26-10-2015
4097,14-11-2015,bottled water,4097_14-11-2015
1073,03-12-2015,finished products,1073_03-12-2015
3390,21-02-2015,abrasive cleaner,3390_21-02-2015
1768,19-05-2015,dessert,1768_19-05-2015
1186,26-04-2015,other vegetables,1186_26-04-2015
